bblid,scanid,idemoExclude,idemoExcludeVoxelwise,idemoNoDataExclude,idemoRelMeanRMSMotion,idemoRelMeanRMSMotionExclude,idemoRelMaxRMSMotion,idemoRelMaxRMSMotionExclude,idemoNormCrossCorr,idemoNormCoverage,idemoCoregCrossCorr,idemoCoregCoverage,idemoVoxelwiseCoverageExclude,idemoMeanActivationExclude,idemoRpsMapCorrectionNotApplied
89834,3353,0,0,0,0.0457445,0,0.351268,0,0.85552978,0.9864626314,0.82971312,0.9868330997,0,0,0
91332,3362,0,0,0,0.0444502,0,0.149253,0,0.84943717,0.9969798801,0.8218019,0.9977973545,0,0,0
90667,3363,0,0,0,0.0555308,0,0.260995,0,0.84572198,0.9954751372,0.81029989,0.9961709077,0,0,0
89260,3367,0,0,0,0.0561036,0,0.607944,0,0.8456588,0.9976870561,0.82219618,0.9983883363,0,0,0
80765,3369,0,0,0,0.0288841,0,0.083705,0,0.84842214,0.9863350207,0.82148926,0.9888379988,0,0,0
82202,3370,0,0,0,0.119342,0,1.07527,0,0.85409487,0.9958313838,0.82371745,0.9959280152,0,0,0
92860,3371,0,0,0,0.22134,0,4.01143,0,0.85405663,0.9934227318,0.83130271,0.9932157719,0,0,0
91422,3372,0,0,0,0.0683934,0,0.734217,0,0.83976331,0.982618359,0.80681353,0.9833614527,0,0,0
92182,3373,0,0,0,0.0972133,0,1.66106,0,0.84252797,0.9993672637,0.8212303,0.9994577565,0,0,0
89786,3374,0,0,0,0.0338791,0,0.215716,0,0.8468272,0.9905408567,0.81585743,0.9922100557,0,0,0
91740,3397,0,0,0,0.0382217,0,0.218017,0,0.82355137,0.9997394615,0.8010497,0.9997491795,0,0,0
87878,3400,0,0,0,0.0538739,0,0.38444,0,0.84365941,0.9860744822,0.81926537,0.9851763562,0,0,0
82511,3404,0,0,0,0.0491132,0,0.139334,0,0.83693881,0.9952677698,0.80646019,0.996273167,0,0,0
90462,3405,0,0,0,0.268988,0,0.775047,0,0.84457048,0.9955867966,0.81892482,0.9963914289,0,0,0
85679,3407,0,0,0,0.0390917,0,0.170119,0,0.84637835,0.9950816709,0.81407581,0.9971444626,0,0,0
90744,3408,1,1,1,NA,0,NA,0,NA,NA,NA,NA,0,0,1
91723,3409,1,1,0,0.231009,0,6.36664,1,0.85753128,0.9948477179,0.83301936,0.9963965824,0,0,1
90241,3410,1,1,0,0.340574,0,19.2822,1,0.85475568,0.9953475265,0.83708093,0.9963267922,0,0,0
87064,3411,0,0,0,0.0747119,0,0.776073,0,0.84633672,0.9966608533,0.82638536,0.9980519869,0,0,0
88425,3414,0,0,0,0.0314528,0,0.130895,0,0.83996584,0.994092688,0.82129606,0.9961598104,0,0,0
90217,3426,1,1,0,0.0906515,0,1.15816,0,0.84729572,0.9968416352,0.82759693,0.9972457662,0,1,0
81162,3427,0,0,0,0.0416679,0,0.214392,0,0.83610349,0.9951295249,0.81380678,0.9956129799,0,0,0
89653,3428,0,0,0,0.0597761,0,0.44491,0,0.850752,0.9963896806,0.81729095,0.9964782477,0,0,0
86820,3429,0,0,0,0.043288,0,0.30947,0,0.83511813,0.9970755881,0.80195309,0.9972517144,0,0,0
93463,3430,0,0,0,0.0406615,0,0.345387,0,0.83886327,0.9985962823,0.81205601,0.9990374353,0,0,0
91460,3432,0,0,0,0.0391162,0,0.114773,0,0.82893035,0.9881322047,0.80269128,0.9886323001,0,0,0
82746,3433,0,0,0,0.0436474,0,0.212234,0,0.83830232,0.9979635459,0.81304015,0.9987607966,0,0,0
89816,3434,0,0,0,0.0435865,0,0.282199,0,0.85984059,0.995698456,0.82718793,0.9961113116,0,0,1
91310,3435,0,0,0,0.0695439,0,0.55887,0,0.86338241,0.9961769961,0.82996381,0.9966568141,0,0,0
80889,3437,0,0,0,0.0263744,0,0.0943021,0,0.84343862,0.9955548939,0.81586414,0.9957245835,0,0,0
86853,3449,0,0,0,0.040579,0,0.437612,0,0.83914828,0.9958101153,0.81177462,0.9975319758,0,0,0
89300,3450,1,1,0,0.431986,0,6.87225,1,0.85453743,0.9941777618,0.82602118,0.9959276014,0,0,0
93278,3456,0,0,0,0.062945,0,0.354506,0,0.84224248,0.9940714195,0.81367415,0.9951047621,0,0,0
86440,3457,0,0,0,0.0793423,0,0.81231,0,0.86159861,0.9851014506,0.83057441,0.9860204083,0,0,0
90964,3458,0,0,0,0.153489,0,2.66412,0,0.84126423,0.9958526522,0.82544366,0.9976644258,0,0,0
90746,3459,1,1,0,1.2464,1,5.862,0,0.86879526,0.9929282403,0.84465634,0.9954233294,0,1,0
91104,3463,0,0,0,0.176496,0,1.87223,0,0.8635171,0.9940501511,0.8470047,0.9957452962,0,0,0
88568,3464,1,1,1,NA,0,NA,0,NA,NA,NA,NA,0,0,1
90077,3465,0,0,0,0.0438116,0,0.92658,0,0.84464549,0.9871698074,0.81376879,0.9880604002,0,0,0
88589,3466,0,0,0,0.0551411,0,0.501764,0,0.85516123,0.9914288145,0.83278637,0.9928009345,0,0,0
87277,3467,0,0,0,0.0398613,0,0.204951,0,0.84361073,0.9979954486,0.81849807,0.9975769026,0,0,0
93542,3473,0,0,0,0.0520508,0,0.406518,0,0.83734978,0.9845591051,0.80217532,0.9868626351,0,0,0
91341,3474,0,0,0,0.0896786,0,1.04201,0,0.84490263,0.9970330512,0.82850013,0.9980304124,0,0,1
89063,3475,0,0,0,0.0558032,0,0.380924,0,0.83175601,0.9898336808,0.81513486,0.9925067421,0,0,0
80557,3476,0,1,0,0.0315361,0,0.195139,0,0.84534703,0.9892753839,0.82674535,0.9909926081,1,0,0
82784,3488,0,0,0,0.0661856,0,0.698426,0,0.84572492,0.9960227998,0.81560959,0.9969324775,0,0,0
91486,3489,1,1,0,0.391821,0,6.01853,1,0.85575661,0.9897805096,0.82954083,0.9932080936,0,0,0
92051,3490,0,0,0,0.0250492,0,0.107652,0,0.8447164,0.9952358672,0.8134009,0.994696674,0,0,0
91364,3493,0,0,0,0.0906696,0,2.34771,0,0.84553688,0.9966714876,0.8121734,0.9972372584,0,0,0
88486,3494,0,0,0,0.0477695,0,0.217126,0,0.83861419,0.9885469395,0.81768093,0.9923945781,0,0,0
84053,3495,0,0,0,0.0354003,0,0.198296,0,0.83805337,0.9717501808,0.80033125,0.9717373389,0,0,0
91919,3497,0,0,0,0.0612512,0,0.915802,0,0.84686423,0.9950178655,0.82363085,0.9963113789,0,0,0
89383,3498,0,0,0,0.122985,0,1.86461,0,0.85268548,0.9971925646,0.82093975,0.9980993849,0,0,0
96118,3500,0,0,0,0.0620256,0,0.509268,0,0.83465344,0.998771747,0.80672933,0.9984529062,0,0,0
92582,3502,0,0,0,0.121665,0,0.919279,0,0.84607749,0.9896475818,0.82378362,0.9898348111,0,0,0
87679,3508,0,0,0,0.16353,0,1.15427,0,0.84983472,0.9943638607,0.8241047,0.9953479182,0,0,0
86626,3512,0,0,0,0.0762032,0,0.398584,0,0.83912646,0.9964428517,0.81961888,0.9980154311,0,0,0
84803,3513,0,0,0,0.0603815,0,0.191524,0,0.84921933,0.9888606492,0.81995957,0.9877234891,0,0,0
89525,3516,0,0,0,0.0712955,0,0.59691,0,0.85123625,0.9958473351,0.82813968,0.9956211245,0,0,0
93042,3523,0,0,0,0.0302989,0,0.140581,0,0.84811594,0.9830277766,0.8268116,0.9870023009,0,0,0
84069,3524,0,0,0,0.0616948,0,0.887837,0,0.84648191,0.9909343231,0.81608488,0.9918891739,0,0,0
84446,3526,0,0,0,0.0349177,0,0.138646,0,0.82942354,0.9890946021,0.80161952,0.9887702182,0,0,0
86162,3528,0,0,0,0.331541,0,3.46077,0,0.85963398,0.9941192735,0.83699362,0.9946007407,0,0,0
